genres,movie_id,original_title,plot,cast
"['Action', 'Thriller']",107846,Escape Plan,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.","['Sylvester Stallone', 'Arnold Schwarzenegger', 'Jim Caviezel']"
"['Action', 'Adventure']",188207,The Legend of Hercules,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.","['Kellan Lutz', 'Liam McIntyre', 'Gaia Weiss']"
"['Thriller', 'Action', 'Drama']",4614,The Sum of All Fears,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.","['Ben Affleck', 'Morgan Freeman', 'James Cromwell']"
"['Adventure', 'Fantasy', 'Drama']",24021,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.","['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']"
"['Action', 'Crime', 'Thriller']",11371,The Score,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,"['Robert De Niro', 'Edward Norton', 'Marlon Brando']"
"['Animation', 'Family']",20352,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.","['Steve Carell', 'Jason Segel', 'Russell Brand']"
"['Action', 'Comedy', 'Crime']",11517,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']"
['Comedy'],214756,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.","['Mark Wahlberg', 'Seth MacFarlane', 'Amanda Seyfried']"
"['Adventure', 'Drama', 'History']",26428,Agora,"A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.","['Rachel Weisz', 'Max Minghella', 'Oscar Isaac']"
"['Adventure', 'Fantasy', 'Action']",9824,Mystery Men,"When Captain Amazing (Kinnear) is kidnapped by Casanova Frankenstein (Rush) a group of superheroes combine together to create a plan. But these aren't normal superheroes. Now, the group who include such heroes as Mr. Furious (Stiller), The Shoveller (Macy) and The Blue Raja (Azaria) must put all the powers together to save everyone they know and love.","['Ben Stiller', 'Geoffrey Rush', 'Claire Forlani']"
['Comedy'],48988,Hall Pass,"When best buds Rick and Fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages: they grant the guys a ""hall pass"", one week of freedom to do whatever they want. At first, it seems like a dream come true, but they quickly discover that their expectations of the single life - and themselves - are completely and hilariously out of sync with reality.","['Owen Wilson', 'Jason Sudeikis', 'Jenna Fischer']"
"['Drama', 'Thriller']",9008,The Insider,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand","['Al Pacino', 'Russell Crowe', 'Christopher Plummer']"
"['Action', 'Drama', 'History']",300673,The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"['Chris Pine', 'Casey Affleck', 'Ben Foster']"
"['Action', 'Drama', 'Thriller']",12113,Body of Lies,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.","['Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong']"
['Comedy'],38778,Dinner for Schmucks,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.","['Steve Carell', 'Paul Rudd', 'Stephanie Szostak']"
"['Action', 'Fantasy', 'Horror']",72331,Abraham Lincoln: Vampire Hunter,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.","['Benjamin Walker', 'Dominic Cooper', 'Anthony Mackie']"
"['Romance', 'Drama', 'Mystery']",1844,Entrapment,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.","['Sean Connery', 'Catherine Zeta-Jones', 'Will Patton']"
"['Mystery', 'Science Fiction', 'Thriller']",846,The X Files,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth.","['David Duchovny', 'Gillian Anderson', 'Mitch Pileggi']"
"['Action', 'Adventure', 'Fantasy']",9703,The Last Legion,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.","['Colin Firth', 'Ben Kingsley', 'Aishwarya Rai Bachchan']"
"['Drama', 'History', 'War']",857,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","['Tom Hanks', 'Matt Damon', 'Vin Diesel']"
"['Action', 'Crime', 'Drama']",136797,Need for Speed,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.","['Aaron Paul', 'Dominic Cooper', 'Imogen Poots']"
"['Comedy', 'Romance']",3981,What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.","['Helen Hunt', 'Mel Gibson', 'Marisa Tomei']"
"['Animation', 'Comedy', 'Family']",425,Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.","['Ray Romano', 'John Leguizamo', 'Denis Leary']"
"['Drama', 'Horror', 'Science Fiction']",6171,Dreamcatcher,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.","['Morgan Freeman', 'Thomas Jane', 'Jason Lee']"
"['History', 'Drama']",72976,Lincoln,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.","['Daniel Day-Lewis', 'Sally Field', 'David Strathairn']"
"['Action', 'Science Fiction']",603,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']"
['Drama'],568,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']"
"['Fantasy', 'Comedy', 'Family']",9021,The Santa Clause 2,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.","['Tim Allen', 'Elizabeth Mitchell', 'David Krumholtz']"
"['Drama', 'Music', 'Romance']",82695,Les Misérables,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.","['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway']"
"['Comedy', 'Romance']",9489,You've Got Mail,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet – both blissfully unaware that he's putting her out of business.","['Tom Hanks', 'Meg Ryan', 'Katie Sagona']"
['Comedy'],12133,Step Brothers,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.","['Will Ferrell', 'John C. Reilly', 'Mary Steenburgen']"
"['Action', 'Adventure']",9342,The Mask of Zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.","['Antonio Banderas', 'Anthony Hopkins', 'Catherine Zeta-Jones']"
"['Comedy', 'Drama']",41733,Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.","['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan']"
"['Drama', 'War']",227306,Unbroken,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.","[""Jack O'Connell"", 'Domhnall Gleeson', 'Garrett Hedlund']"
"['Action', 'Adventure', 'Thriller']",5551,Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.","['Clint Eastwood', 'Tommy Lee Jones', 'Donald Sutherland']"
"['Action', 'Adventure', 'Thriller']",9350,Cliffhanger,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","['Sylvester Stallone', 'John Lithgow', 'Michael Rooker']"
"['Action', 'Adventure', 'Drama']",9208,Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.","['John Travolta', 'Christian Slater', 'Samantha Mathis']"
"['Fantasy', 'Comedy', 'Family']",4244,The Kid,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.","['Bruce Willis', 'Spencer Breslin', 'Emily Mortimer']"
"['Drama', 'History', 'Thriller']",1852,World Trade Center,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.","['Nicolas Cage', 'Maria Bello', 'Maggie Gyllenhaal']"
"['Drama', 'Romance']",11820,Mona Lisa Smile,"The story of Katherine Ann Watson, a feminist teacher who studied at UCLA graduate school and in 1953 left her boyfriend behind in Los Angeles, California to teach at Wellesley College, a conservative women's private liberal arts college in Massachusetts, United States.","['Julia Roberts', 'Kirsten Dunst', 'Julia Stiles']"
['Comedy'],76493,The Dictator,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,"['Sacha Baron Cohen', 'Sayed Badreya', 'Aasif Mandvi']"
"['Mystery', 'Drama']",345,Eyes Wide Shut,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.","['Tom Cruise', 'Nicole Kidman', 'Madison Eginton']"
"['Comedy', 'Drama', 'Family']",196867,Annie,"Ever since her parents left her as a baby, little Annie has led a hard-knock life with her calculating foster mother, Miss Hannigan. However, all that changes when hard-nosed billionaire and mayoral candidate Will Stacks takes her in on the recommendation of his advisers. Stacks believes that he's Annie's guardian angel, but the plucky youngster's confidence and sunny outlook may mean that Annie will save Will instead.","['Quvenzhané Wallis', 'Jamie Foxx', 'Rose Byrne']"
"['Romance', 'Comedy', 'Crime']",256591,Focus,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.","['Will Smith', 'Margot Robbie', 'Rodrigo Santoro']"
"['Action', 'Comedy', 'Romance']",59962,This Means War,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,"['Reese Witherspoon', 'Chris Pine', 'Tom Hardy']"
"['Science Fiction', 'Action', 'Horror']",36648,Blade: Trinity,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.","['Wesley Snipes', 'Kris Kristofferson', 'Dominic Purcell']"
"['Action', 'Thriller']",1880,Red Dawn,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.","['Patrick Swayze', 'C. Thomas Howell', 'Lea Thompson']"
"['Comedy', 'Drama']",9440,Primary Colors,"In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons.","['John Travolta', 'Emma Thompson', 'Billy Bob Thornton']"
"['Action', 'Horror', 'Science Fiction']",71679,Resident Evil: Retribution,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.","['Milla Jovovich', 'Sienna Guillory', 'Michelle Rodriguez']"
"['Action', 'Thriller', 'Science Fiction']",10483,Death Race,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.","['Jason Statham', 'Joan Allen', 'Ian McShane']"
"['Crime', 'Action', 'Mystery']",11412,The Long Kiss Goodnight,"Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent","['Geena Davis', 'Samuel L. Jackson', 'Yvonne Zima']"
"['Action', 'Adventure', 'Drama']",11983,Proof of Life,"Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America.","['Meg Ryan', 'Russell Crowe', 'David Morse']"
"['Family', 'Fantasy', 'Science Fiction']",6795,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.","['Jonah Bobo', 'Josh Hutcherson', 'Dax Shepard']"
['Drama'],550,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","['Edward Norton', 'Brad Pitt', 'Meat Loaf']"
['Drama'],11170,We Are Marshall,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.","['Matthew McConaughey', 'Matthew Fox', 'Anthony Mackie']"
"['Action', 'Adventure', 'Comedy']",9292,Hudson Hawk,"Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy.","['Bruce Willis', 'Danny Aiello', 'Andie MacDowell']"
"['Action', 'Adventure', 'Comedy']",10783,Lucky Numbers,"Russ Richards is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough.","['John Travolta', 'Lisa Kudrow', 'Tim Roth']"
"['Horror', 'Thriller']",100241,"I, Frankenstein","200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.","['Aaron Eckhart', 'Yvonne Strahovski', 'Bill Nighy']"
"['Crime', 'Drama', 'Family']",257,Oliver Twist,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.","['Barney Clark', 'Ben Kingsley', 'Jamie Foreman']"
"['Action', 'Fantasy']",9947,Elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.","['Jennifer Garner', 'Goran Visnjic', 'Will Yun Lee']"
"['Crime', 'Thriller']",189,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,"['Mickey Rourke', 'Jessica Alba', 'Josh Brolin']"
"['Drama', 'Romance']",12618,Random Hearts,After the death of their loved ones in a tragic plane crash 'Harrison Ford' and Kristin Scott Thomas find each others keys in each others loved ones posessions and realize that they were having an affair and must figure out all the details. Written by Andy HeitzThe wife of Police Sergeant Dutch Van Den Broek and the husband of politician Kay Chandler are killed in a plane crash. Now Dutch discovers some anomalies in what he told her before she left and discovers that she and Chandler's husband were travelling together. Dutch then goes to Chandler and tells her that he suspects that they were having an affair. He tells her that he wants to know the truth; she tells him that she doesn't but she later joins him and they grow close.,"['Harrison Ford', 'Kristin Scott Thomas', 'Charles S. Dutton']"
"['Adventure', 'Drama']",253412,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.","['Jason Clarke', 'Jake Gyllenhaal', 'Josh Brolin']"
"['Crime', 'Fantasy', 'Drama']",1427,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.","['Ben Whishaw', 'Simon Chandler', 'David Calder']"
"['Comedy', 'Crime', 'Science Fiction']",818,Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.","['Mike Myers', 'Beyoncé Knowles', 'Seth Green']"
"['Animation', 'Action', 'Family']",16577,Astro Boy,"Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him.","['Nicolas Cage', 'Kristen Bell', 'Bill Nighy']"
"['Adventure', 'Science Fiction']",329,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","['Sam Neill', 'Laura Dern', 'Jeff Goldblum']"
"['Drama', 'Action', 'Western']",12160,Wyatt Earp,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.","['Kevin Costner', 'Dennis Quaid', 'Gene Hackman']"
"['Action', 'Drama', 'Thriller']",9331,Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"['Harrison Ford', 'Willem Dafoe', 'Anne Archer']"
"['Action', 'Drama', 'Adventure']",300168,天將雄師,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds.","['Jackie Chan', 'John Cusack', 'Adrien Brody']"
"['Comedy', 'Crime']",9072,Little Man,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back.","['Marlon Wayans', 'Shawn Wayans', 'Kerry Washington']"
"['Action', 'Drama', 'Thriller']",3536,U-571,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'.","['Matthew McConaughey', 'Bill Paxton', 'Harvey Keitel']"
"['Comedy', 'Drama', 'Romance']",9087,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']"
"['Comedy', 'Romance']",12177,The Love Guru,"Born in America and raised in an Indian ashram, Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup.","['Mike Myers', 'Jessica Alba', 'Justin Timberlake']"
"['Action', 'Adventure', 'Comedy']",12138,3000 Miles to Graceland,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy.","['Kurt Russell', 'Kevin Costner', 'Courteney Cox']"
"['Crime', 'Drama', 'Mystery']",273248,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh']"
"['Action', 'Comedy', 'Drama']",9955,Blades of Glory,"When a much-publicized ice-skating scandal strips them of their gold medals, two world-class athletes skirt their way back onto the ice via a loophole that allows them to compete together as a pairs team.","['Will Ferrell', 'Jon Heder', 'Will Arnett']"
"['Animation', 'Comedy', 'Family']",50359,Hop,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","['Russell Brand', 'James Marsden', 'Kaley Cuoco']"
"['Action', 'Adventure', 'War']",1271,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","['Gerard Butler', 'Lena Headey', 'Dominic West']"
"['Comedy', 'Romance']",693,Meet the Fockers,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.","['Ben Stiller', 'Teri Polo', 'Robert De Niro']"
"['Comedy', 'Family']",14306,Marley & Me,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.","['Owen Wilson', 'Jennifer Aniston', 'Eric Dane']"
"['Fantasy', 'Drama', 'Crime']",497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']"
"['Action', 'Adventure', 'Comedy']",11199,Wild Hogs,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.","['Tim Allen', 'John Travolta', 'Martin Lawrence']"
"['Animation', 'Family', 'Comedy']",9982,Chicken Little,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.","['Zach Braff', 'Joan Cusack', 'Dan Molina']"
